3380
330	461	38
330	12	38
330	278	14
330	424	46
330	447	30
330	382	14
330	216	34
330	355	13
330	415	0
330	372	42
330	215	26
330	558	6
330	156	42
330	249	42
330	449	28
330	449	41
330	381	6
330	58	6
330	163	10
330	41	35
330	226	25
330	528	1
317	327	48
317	12	38
317	124	21
317	580	47
317	160	38
317	0	38
317	216	34
317	237	12
317	443	33
317	123	28
317	53	28
317	193	38
317	112	6
317	418	6
317	282	6
168	216	34
168	443	17
168	525	6
168	215	26
168	42	6
168	183	17
168	461	38
168	12	38
317	424	46
317	433	30
317	152	20
317	61	4
317	515	14
317	369	14
317	386	13
317	167	2
317	567	14
317	405	14
317	228	18
317	568	18
317	131	18
317	415	0
317	367	18
317	49	20
317	566	18
317	372	42
317	156	42
317	249	42
317	71	1
317	137	30
317	255	10
317	514	35
317	298	30
317	226	25
36	461	38
36	12	38
36	309	47
36	472	24
36	424	46
36	520	30
36	61	4
36	414	14
36	365	14
36	382	14
36	216	34
36	446	13
36	316	6
36	311	6
36	567	14
36	405	14
36	228	2
36	344	28
36	415	0
36	159	17
36	444	10
36	372	42
36	156	42
36	249	42
36	248	35
36	226	25
36	291	1
423	216	34
423	119	0
423	372	42
423	249	42
423	251	18
423	149	2
423	581	18
441	12	38
441	216	34
441	119	0
441	372	42
441	320	18
441	249	42
441	462	6
441	426	6
441	352	18
441	86	10
441	462	2
441	303	35
441	226	25
303	12	38
303	216	34
303	119	0
303	372	42
303	249	42
303	86	2
303	462	18
303	441	18
303	426	18
168	424	46
168	319	30
168	157	13
168	341	4
168	405	14
168	199	2
168	119	0
168	372	42
168	320	10
168	156	42
168	249	42
168	352	35
168	397	2
168	214	42
168	417	1
168	226	25
168	398	14
462	12	38
462	97	4
462	216	34
462	341	4
462	415	0
462	372	42
462	560	42
462	320	18
462	249	42
462	441	6
462	426	6
462	352	18
462	86	10
462	441	2
462	303	35
462	214	42
462	419	1
462	226	25
386	424	46
386	216	34
386	482	42
386	449	5
386	461	38
386	12	38
423	12	38
426	12	38
426	216	34
426	119	0
426	372	42
426	249	42
426	462	6
426	441	6
426	1	18
426	86	10
426	35	2
426	303	35
149	12	38
149	216	34
149	415	0
149	372	42
149	249	42
149	251	18
149	423	2
149	581	18
35	12	38
35	216	34
35	415	0
35	372	42
35	249	42
35	1	18
35	426	2
182	12	38
182	424	46
182	216	34
182	415	0
182	270	10
182	372	42
182	455	12
182	249	42
182	166	35
182	30	37
182	226	25
166	12	38
166	424	46
166	216	34
166	119	0
166	372	42
166	249	42
166	182	18
166	226	25
287	400	4
287	216	34
287	415	0
287	372	42
287	215	26
287	156	42
287	249	42
287	217	6
287	127	6
287	226	25
217	12	38
217	400	4
217	216	34
217	415	0
217	372	42
217	215	26
217	249	42
217	287	6
217	127	6
217	508	18
